brand,collection,price,currency,country,life_span_date,price_before,price_difference,price_changed
Chopard,MILLE MIGLIA CLASSIC CHRONOGRAPH,12900,CHF,Switzerland,2021-06-30,12900.0,0,0.0
Chopard,MILLE MIGLIA CLASSIC CHRONOGRAPH,12800,CHF,Switzerland,2021-06-30,12800.0,0,0.0
Chopard,MILLE MIGLIA CLASSIC CHRONOGRAPH,6980,CHF,Switzerland,2021-06-30,6980.0,0,0.0
Chopard,MILLE MIGLIA GTS AZZURRO CHRONO,7400,CHF,Switzerland,2021-06-30,7400.0,0,0.0
Chopard,MILLE MIGLIA GTS AZZURRO POWER CONTROL,9690,CHF,Switzerland,2021-06-30,9690.0,0,0.0
Chopard,MILLE MIGLIA GTS AUTOMATIC,5790,CHF,Switzerland,2021-06-30,5790.0,0,0.0
Chopard,MILLE MIGLIA GTS POWER CONTROL,6330,CHF,Switzerland,2021-06-30,6330.0,0,0.0
Chopard,MILLE MIGLIA GTS CHRONO,6950,CHF,Switzerland,2021-06-30,6950.0,0,0.0
Chopard,MILLE MIGLIA GTS POWER CONTROL GRIGIO SPECIALE,8220,CHF,Switzerland,2021-06-30,8220.0,0,0.0
Chopard,MILLE MIGLIA GTS AUTOMATIC SPEED BLACK,7400,CHF,Switzerland,2021-06-30,7400.0,0,0.0
Chopard,MILLE MIGLIA GTS POWER CONTROL,6800,CHF,Switzerland,2021-06-30,6800.0,0,0.0
Chopard,MILLE MIGLIA GTS POWER CONTROL,9690,CHF,Switzerland,2021-06-30,9690.0,0,0.0
Chopard,MILLE MIGLIA 2019 RACE EDITION,7250,CHF,Switzerland,2021-06-30,7250.0,0,0.0
